id,imena,žanri,jeziki,št poglavij
186,"A Court Magician, Who Was Focused On Supportive Magic Because His Allies Were Too Weak, Aims To Become The Strongest After Being Banished","['Action', 'Adventure', 'Fantasy']",EN,80
187,A coward is incapable of exhibiting love; it is the prerogative of the brave.,"['Comedy', 'Slice of Life']",EN,10
188,A Cup of Coffee,"['Romance', 'Seinen', 'Slice of Life']",EN,30
189,A Cursed Sword's Daily Life,"['Comedy', 'Fantasy']",EN,110
190,A Cute Girl with Nasty Look,"['Comedy', 'Romance', 'School']",EN,54
191,A Cute Girlfriend,"['Mystery', 'Psychological', 'Romance']",EN,21
192,A Cute Guy,"['Romance', 'Shoujo']",EN,23
193,A Dance of Swords in the Night,"['Action', 'Adventure', 'Drama']",EN,47
194,A Dark Elf with a Slightly Overwhelming Love Chased Me All the Way from Another World,"['Comedy', 'Fantasy', 'Romance']",EN,3
195,A Day In The Life Of The Shield Hero,"['Adventure', 'Comedy', 'Fantasy']",EN,22.5
196,A DeadbEAT's Meal,"['Drama', 'Romance', 'Shounen']",EN,77
197,A Deceitful Marriage,"['Comedy', 'Josei', 'Romance']",JA,27
198,A Destructive God Sits Next to Me,"['Comedy', 'Josei', 'School']",EN,54
199,A Devil and Her Love Song,"['Drama', 'Romance', 'School']",EN,91
200,A Diffusion Disease,"['Adventure', 'Drama', 'Psychological']",EN,9
201,A Direction of the Day After Tomorrow,"['Drama', 'Fantasy', 'Slice of Life']",EN,21.2
202,A Divorced Evil Lady Bakes Cakes,"['Comedy', 'Historical', 'Romance']",EN,1
203,A Drift Girl and a Noble Moon,"['Comedy', 'Historical', 'School']",EN,7
204,A dungeon appeared on the earth that day,"['Action', 'Adventure', 'Fantasy']",JA,15
205,A dungeon harem to build with elf-slaves - I'm going to sleep with them in another world and make more friends,"['Action', 'Adventure', 'Comedy']",JA,10
206,A Fake Affair,['Romance'],EN,5
207,A Farewell's Love That Begins With A Bet,"['Comedy', 'Romance']",EN,13
208,A Female Warrior Who Fell to the Goblin Kingdom,"['Action', 'Adventure', 'Fantasy']",EN,8
209,A Fine and Bright Day,"['Comedy', 'Slice of Life']",EN,13
210,A Fool and a Girl,"['Fantasy', 'Josei', 'Romance']",nedoločen,27
211,A Former Assassin Was Reborn as a Noble's Daughter,"['Comedy', 'Fantasy', 'Romance']",EN,5
212,A Former Brave Resident In The Dungeon,"['Action', 'Comedy', 'Fantasy']",EN,44
213,A former brave resident in the dungeon,"['Action', 'Ecchi', 'Fantasy']",EN,34
214,"A Former Child Soldier Who Uses a Magic Sword Wants to Live With a Missy, the Former Enemy Leader.","['Action', 'Adventure', 'Fantasy']",EN,24
215,A Former Hero Returning From Another World Gets Involved in a Death Game,"['Comedy', 'Fantasy', 'Horror']",EN,10
216,A Gate Opened on My First Day as a Politician,"['Drama', 'Fantasy', 'Shounen']",EN,46
217,A Gentle Breeze in the Village,"['Drama', 'Romance', 'Shoujo']",JA,69.3
218,A Gentle Noble's Vacation Recommendation,"['Adventure', 'Fantasy', 'Slice of Life']",EN,41
219,A Girl & Her Guard Dog,"['Romance', 'School', 'Shoujo']",EN,36
220,A Girl on the Shore,"['Drama', 'Psychological', 'Romance']",EN,20
221,A Girl With an Empty Heart and Fragments of a Rainbow,"['Adventure', 'Drama', 'Fantasy']",EN,4
222,A Goddess Becoming Useless Due to an Overly Caring Man,"['Comedy', 'Slice of Life', 'Supernatural']",EN,5
223,A good-natured craftsman's trip to another world,"['Adventure', 'Comedy', 'Fantasy']",JA,36
224,A Grandcross Story,"['Action', 'Drama', 'Fantasy']",EN,26
225,"A great man who does not appear in magic history ~Because he was dismissed from the Ministry of Magic for his futile research, he was able to monopolize the privilege to new magic all to himself~","['Action', 'Adventure', 'Comedy']",JA,35
226,"A Great Man, the Leader of the Pack","['Action', 'Drama', 'Shounen']",EN,55
227,A Happy Couple,"['Comedy', 'Doujinshi', 'Romance']",JA,0
228,A Happy Ending for Villains,"['Drama', 'Fantasy', 'Romance']",EN,33
229,A happy ending isn't necessary for our love,"['Josei', 'Romance', 'Slice of Life']",EN,12
230,A Harem in the Fantasy World Dungeon,"['Action', 'Adventure', 'Fantasy']",EN,74
231,A Heartfelt Andante,['Drama'],EN,25
232,A Heroic Tale About Starting With a Personal Relations Cheat(Ability) and Letting Others Do the Job,"['Action', 'Adventure', 'Magic']",EN,3
233,A High School Girl and A Private Teacher,"['Comedy', 'Romance', 'Slice of Life']",EN,14
234,A High School Girl Raises A Corporate Slave,"['Comedy', 'Romance', 'Shounen']",EN,28
235,A Hundred Ways To Abuse A Slag,"['Action', 'Adventure', 'Fantasy']",EN,9
236,A Kiss for the Girls' Scars,['Fantasy'],EN,16
237,"A Kiss, For Real","['Comedy', 'Drama', 'Romance']",EN,37
238,A Lazy Guy Woke Up As A Girl One Morning,"['Comedy', 'Gender Bender', 'School']",EN,22.2
239,A Legend of Ultimate Hot Rodder,"['Action', 'Cars', 'Seinen']",EN,267
240,A Letter to the Sky,"['Drama', 'Josei']",EN,47
241,A Life Turned Upside Down: My Dad's an Alcoholic,['Drama'],EN,11.5
242,A Little Love Story,"['Drama', 'Romance', 'Slice of Life']",EN,5
243,A Little Snow Fairy Sugar,"['Fantasy', 'School', 'Shounen']",EN,14
244,A Love Letter and a 13-Year-Old Actress,"['Drama', 'Romance', 'Seinen']",JA,5
245,A Love Letter for the Marching Puppy,"['Drama', 'Military', 'School']",EN,26
246,A Loving Existence,"['Comedy', 'Drama', 'Romance']",EN,65
247,A Man & His Cat,['Slice of Life'],EN,73
248,A Man of Great Infatuation,"['Drama', 'Romance', 'Yaoi']",EN,15
249,A Man Who Has Become a Transcendental Person Walks Around the Other World at His Own Pace,"['Action', 'Adventure', 'Fantasy']",JA,33
250,A Man With a Thousand Skills 1000,"['Action', 'Adventure', 'Fantasy']",EN,59
251,A Man's Man,"['Action', 'Drama', 'Sci-Fi']",EN,111
252,A Manga About a Demon Lord Who Wants to Be Defeated by the Hero Quickly,"['Comedy', 'Fantasy', 'Shounen']",EN,3
253,A Manga About a Stereotypical PE Teacher Who Dies at the Start of a School Horror Movie,"['Comedy', 'Horror']",EN,68.5
254,A Mark Against Thee,"['Drama', 'Mystery', 'Psychological']",EN,7
255,A Meal Makes Her Forget,"['Comedy', 'Seinen', 'Slice of Life']",JA,146
256,A Memorandum About Me and the Witch,"['Drama', 'Fantasy', 'Romance']",EN,4
257,A Middle-aged Man Who Returned From Another World Becomes Unrivaled In The Apocalyptic World,"['Action', 'Fantasy', 'Horror']",JA,16
258,"A Middle-aged Sorcerer's Leisurely Dungeon Conquest - I Got the Strongest Skill by Using a Skill Orb, so I Think I'll Live as I Please~",['Fantasy'],JA,7
259,A Midnight Opera,"['Action', 'Adventure', 'Drama']",EN,0
260,A Modern Man Who Got Transmigrated Into the Murim World,"['Action', 'Adventure', 'Fantasy']",EN,18
261,A Modern Man Who Got Transmigrated Into the Murim World,"['Action', 'Drama', 'Fantasy']",EN,32
